"","description","FDR","enrich","cellType","logFDR"
"30","viral life cycle",0.0411393501698817,-1.67842708782541,"Exc",1.38574257262825
"31","regulation of DNA-templated transcription in response to stress",0.0412072495706977,-1.70633234803454,"Exc",1.38502637203528
"32","extracellular structure organization",0.0413545784592607,-1.6948486912985,"Exc",1.38347640172163
"33","neuron death",0.0415749312317202,-1.68947565953152,"Exc",1.38116846046585
"34","regulation of hemopoiesis",0.04176026670313,-1.67517554114439,"Exc",1.37923673636289
"35","odontogenesis",0.0421083733898049,-1.68631185269229,"Exc",1.37563153467748
"36","response to antibiotic",0.0424890329894853,-1.69005061835714,"Exc",1.37172315293283
"37","biomineral tissue development",0.0425673727883014,-1.65636529333943,"Exc",1.37092315317623
"38","signal transduction in absence of ligand",0.0432722139698936,-1.66833323731614,"Exc",1.36379088408692
"39","connective tissue development",0.043365591819482,-1.67017895713426,"Exc",1.36285472232378
"40","regulation of membrane permeability",0.0433880665180044,-1.65672199175449,"Exc",1.36262970270026
"41","cytoplasmic translation",0.0434393681612599,-1.66257301906963,"Exc",1.36211650031778
"42","response to electrical stimulus",0.0434545916256306,-1.64643714795029,"Exc",1.36196432710216
"43","apoptotic mitochondrial changes",0.0436605958454649,-1.65965043058763,"Exc",1.359910341677
"44","negative regulation of cell development",0.0436867634186417,-1.65079251944618,"Exc",1.35965012927742
"45","establishment of protein localization to membrane",0.0436963480530029,-1.65782381947082,"Exc",1.35955485791982
"46","reactive nitrogen species metabolic process",0.0440559131116713,-1.64690979827121,"Exc",1.3559957930539
"47","extrinsic apoptotic signaling pathway",0.0440811902115021,-1.64068319484963,"Exc",1.35574668785615
"48","negative regulation of nervous system development",0.0441756063950505,-1.66315029185097,"Exc",1.35481748025432
"49","cognition",0.0441769860635721,-1.66522128640532,"Exc",1.35480391681698
"50","tissue migration",0.044215376839827,-1.6520577156538,"Exc",1.35442666921811
"51","regulation of vasculature development",0.0444580935248605,-1.64755741558025,"Exc",1.35204916488007
"52","pri-miRNA transcription by RNA polymerase II",0.0445227147637059,-1.64328245840073,"Exc",1.35141836251003
"53","localization within membrane",0.044742650157453,-1.64127986158127,"Exc",1.34927829572729
"54","ossification",0.046154510944619,-1.63575599500994,"Exc",1.33578584647735
"55","ncRNA processing",0.0483676664859106,-1.63072512346993,"Exc",1.31544486478725
"56","regulation of synapse structure or activity",0.0103985923196147,-1.95059406277022,"Ast",1.98302544812444
"57","cell-cell adhesion mediated by cadherin",0.0356073009732262,-1.81323319599456,"Ast",1.44846094451891
"58","glutamate receptor signaling pathway",0.0486843185872872,-1.81708988875698,"Ast",1.31261090424147
"59","protein targeting",1e-07,-2.18910042919076,"Inh",7
"60","establishment of protein localization to membrane",1e-07,-2.24777221458126,"Inh",7
"61","RNA catabolic process",1e-07,-2.34315872069095,"Inh",7
"62","translational initiation",1e-07,-2.53306224060112,"Inh",7
"63","protein localization to endoplasmic reticulum",1e-07,-2.54819892563804,"Inh",7
"64","cytoplasmic translation",0.000199960219554205,-2.09227892789322,"Inh",3.69905639506844
"65","ribonucleoprotein complex biogenesis",0.00224955246998481,-1.95859289294576,"Inh",2.64790387262106
"66","rRNA metabolic process",0.00257091710855407,-1.95868748119711,"Inh",2.58991192564337
"67","response to topologically incorrect protein",0.00346597713893956,-1.93308321783405,"Inh",2.4601743061533
"68","signal transduction in absence of ligand",0.0076984684528369,-1.88143849757628,"Inh",2.11359566555994
"69","response to oxidative stress",0.00839832922127661,-1.88198597703529,"Inh",2.07580710467054
"70","ncRNA processing",0.00839832922127661,-1.88619358391282,"Inh",2.07580710467054
"71","response to toxic substance",0.0155046077931261,-1.82952400489785,"Inh",1.80953921526577
"72","regulation of postsynaptic membrane neurotransmitter receptor levels",0.0177587742042797,2.02001974510146,"Inh",1.75058701460977
"73","response to steroid hormone",0.0195389700250109,-1.8160230456639,"Inh",1.70909833336258
"74","regulation of apoptotic signaling pathway",0.0203159583067072,-1.80859102057436,"Inh",1.69216268712054
"75","regulation of oxidoreductase activity",0.0204709274768617,-1.80399107665237,"Inh",1.68886248029997
"76","semaphorin-plexin signaling pathway",0.0229287718422155,-1.78713547205612,"Inh",1.63961920721657
"77","modification of morphology or physiology of other organism",0.0233600585902736,-1.79019872406862,"Inh",1.63152607228735
"78","response to organophosphorus",0.0293625796082227,-1.76568060078587,"Inh",1.53220579274767
"79","ensheathment of neurons",0.0340132333461703,-1.75306693090755,"Inh",1.46835208145587
"80","response to antibiotic",0.0361642339936605,-1.74555708026524,"Inh",1.44172072940136
"81","extrinsic apoptotic signaling pathway",0.0422097845277149,-1.7307409777453,"Inh",1.37458686482411
"82","ribonucleoprotein complex subunit organization",0.0426697720683495,-1.72602036018935,"Inh",1.36987967703107
"83","platelet degranulation",0.0456909101681359,-1.71838155076997,"Inh",1.34017019066257
"84","regulation of behavior",0.0156098564542545,-1.80073534638397,"Mic",1.80660109062187
"85","cytoplasmic translation",1e-07,-2.00862292184862,"Opc",7
"86","protein targeting",1e-07,-2.24351737633352,"Opc",7
"87","establishment of protein localization to membrane",1e-07,-2.25308707196535,"Opc",7
"88","RNA catabolic process",1e-07,-2.26908771792796,"Opc",7
"89","translational initiation",1e-07,-2.33255908330677,"Opc",7
"90","protein localization to endoplasmic reticulum",1e-07,-2.33951908110114,"Opc",7
"91","ribonucleoprotein complex biogenesis",0.00334239411253292,-1.87149363204564,"Opc",2.47594234235201
"92","rRNA metabolic process",0.00909873952856185,-1.80550861309749,"Opc",2.04101876742681
"93","ncRNA processing",0.00957140132225337,-1.80779117726409,"Opc",2.01902447372064
"94","interleukin-8 production",0.0226523164626663,-1.7562981788724,"Opc",1.64488737972122
